Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     48.33     0.00      482     0.00     0.00  std::vector<BoundaryType, std::allocator<BoundaryType> >::vector(std::vector<BoundaryType, std::allocator<BoundaryType> > const&) [clone .lto_priv.0]
  0.00     48.33     0.00      480     0.00     0.00  void std::vector<BoundaryType, std::allocator<BoundaryType> >::_M_realloc_insert<BoundaryType const&>(__gnu_cxx::__normal_iterator<BoundaryType*, std::vector<BoundaryType, std::allocator<BoundaryType> > >, BoundaryType const&)
  0.00     48.33     0.00      240     0.00     0.00  LinkedCellContainer<2ul>::setupHalo(std::vector<BoardDirectionType, std::allocator<BoardDirectionType> >, std::array<int, 2ul>)
  0.00     48.33     0.00      240     0.00     0.00  Halo<2ul>::~Halo()
  0.00     48.33     0.00      232     0.00     0.00  LinkedCellContainer<2ul>::setupBoundary(std::vector<BoardDirectionType, std::allocator<BoardDirectionType> >, std::array<int, 2ul>)
  0.00     48.33     0.00      232     0.00     0.00  Boundary<2ul>::~Boundary()
  0.00     48.33     0.00      225     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const
  0.00     48.33     0.00      167     0.00     0.00  DummyWriter<2ul>::writeFile(int)
  0.00     48.33     0.00      138     0.00     0.00  XMLReader<3ul>::toBoundaryType(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) const [clone .constprop.0]
  0.00     48.33     0.00      124     0.00     0.00  xercesc_3_2::operator<<(xercesc_3_2::DOMAttr&, long long)
  0.00     48.33     0.00      124     0.00     0.00  xsd::cxx::xml::char_utf8_transcoder<char>::to[abi:cxx11](char16_t const*, unsigned long)
  0.00     48.33     0.00       72     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > >, false, true>, bool> std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_emplace<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > > >(std::integral_constant<bool, true>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > >&&) [clone .constprop.0]
  0.00     48.33     0.00       70     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > xsd::cxx::xml::transcode<char>(char16_t const*)
  0.00     48.33     0.00       54     0.00     0.00  xsd::cxx::xml::qualified_name<char> xsd::cxx::xml::dom::name<char>(xercesc_3_2::DOMAttr const&)
  0.00     48.33     0.00       36     0.00     0.00  void std::vector<BoundaryType, std::allocator<BoundaryType> >::_M_assign_aux<BoundaryType const*>(BoundaryType const*, BoundaryType const*, std::forward_iterator_tag) [clone .constprop.0]
  0.00     48.33     0.00       28     0.00     0.00  Generator<SphereArgument<3ul>, 3ul, true>::generate(SphereArgument<3ul> const&, ParticleContainer<3ul>&)
  0.00     48.33     0.00       21     0.00     0.00  spdlog::sinks::ansicolor_sink<spdlog::details::console_mutex>::to_string_[abi:cxx11](fmt::v8::basic_string_view<char> const&)
  0.00     48.33     0.00       20     0.00     0.00  Thermostat<2ul>::applyThermostat(ParticleContainer<2ul>&)
  0.00     48.33     0.00       16     0.00     0.00  xsd::cxx::xml::qualified_name<char>::~qualified_name()
  0.00     48.33     0.00       16     0.00     0.00  xsd::cxx::xml::qualified_name<char> xsd::cxx::xml::dom::name<char>(xercesc_3_2::DOMElement const&)
  0.00     48.33     0.00       16     0.00     0.00  xsd::cxx::tree::unexpected_element<char>::~unexpected_element()
  0.00     48.33     0.00       15     0.00     0.00  xsd::cxx::xml::dom::parser<char>::next_content(bool) [clone .constprop.0]
  0.00     48.33     0.00       15     0.00     0.00  xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >::~string()
  0.00     48.33     0.00       13     0.00     0.00  xsd::cxx::tree::_type::~_type()
  0.00     48.33     0.00       11     0.00     0.00  std::_Function_handler<void (), spdlog::details::registry::flush_every(std::chrono::duration<long, std::ratio<1l, 1l> >)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.00     48.33     0.00       10     0.00     0.00  xsd::cxx::xml::dom::parser<char>::parser(xercesc_3_2::DOMElement const&, bool, bool, bool) [clone .constprop.1]
  0.00     48.33     0.00       10     0.00     0.00  xsd::cxx::tree::_type::_type(xsd::cxx::tree::_type const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     48.33     0.00        9     0.00     0.00  xsd::cxx::tree::traits<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >, char, (xsd::cxx::tree::schema_type::value)0>::create(xercesc_3_2::DOMAttr const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     48.33     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
  0.00     48.33     0.00        7     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00     48.33     0.00        6     0.00     0.00  xsd::cxx::xml::dom::parser<char>::parser(xercesc_3_2::DOMElement const&, bool, bool, bool) [clone .constprop.0]
  0.00     48.33     0.00        6     0.00     0.00  xsd::cxx::tree::optional<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >, false>::set(std::unique_ptr<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >, std::default_delete<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> > > >)
  0.00     48.33     0.00        6     0.00     0.00  xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >::_clone(xsd::cxx::tree::flags, xsd::cxx::tree::_type*) const
  0.00     48.33     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [clone .constprop.0]
  0.00     48.33     0.00        6     0.00     0.00  std::__detail::__variant::__gen_vtable_impl<std::__detail::__variant::_Multi_array<void (*)(std::__detail::__variant::_Variant_storage<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>::_M_reset()::{lambda(auto:1&&)#1}&&, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>&)>, std::integer_sequence<unsigned long, 0ul> >::__visit_invoke(std::__detail::__variant::_Variant_storage<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>::_M_reset()::{lambda(auto:1&&)#1}&&, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>&)
  0.00     48.33     0.00        5     0.00     0.00  spdlog::pattern_formatter::pattern_formatter(spdlog::pattern_time_type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     48.33     0.00        5     0.00     0.00  spdlog::pattern_formatter::~pattern_formatter()
  0.00     48.33     0.00        5     0.00     0.00  spdlog::details::full_formatter::~full_formatter()
  0.00     48.33     0.00        5     0.00     0.00  spdlog::details::registry::throw_if_exists_(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     48.33     0.00        5     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector() [clone .lto_priv.0]
  0.00     48.33     0.00        5     0.00     0.00  void std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > >::_M_realloc_insert<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > >(__gnu_cxx::__normal_iterator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >*, std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > > >, std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >&&)
  0.00     48.33     0.00        4     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > ArrayUtils::to_string<std::array<double, 2ul> >(std::array<double, 2ul> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, 2ul> const&)
  0.00     48.33     0.00        4     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > ArrayUtils::to_string<std::array<int, 2ul> >(std::array<int, 2ul> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, 2ul> const&)
  0.00     48.33     0.00        4     0.00     0.00  xsd::cxx::tree::one<vector_i, false>::set(std::unique_ptr<vector_i, std::default_delete<vector_i> >)
  0.00     48.33     0.00        4     0.00     0.00  xsd::cxx::tree::one<vector_t, false>::set(std::unique_ptr<vector_t, std::default_delete<vector_t> >)
  0.00     48.33     0.00        4     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     48.33     0.00        4     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::tuple<bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
