# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 162K of event 'cpu-clock'
# Event count (approx.): 40602750000
#
# Overhead  Command  Shared Object        Symbol                                                                                                                       
# ........  .......  ...................  .............................................................................................................................
#
     0.00%  MolSim   libcrypto.so.1.1     [.] 0x000000000017ed4b
     0.00%  MolSim   libstdc++.so.6.0.29  [.] std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put
     0.00%  MolSim   libxerces-c-3.2.so   [.] xercesc_3_2::RangeToken::compactRanges
     0.00%  MolSim   libxerces-c-3.2.so   [.] xercesc_3_2::RangeToken::sortRanges
     0.00%  MolSim   libxerces-c-3.2.so   [.] xercesc_3_2::UnicodeRangeFactory::getUniCategory
     0.00%  MolSim   libxerces-c-3.2.so   [.] xercesc_3_2::XMLUniCharacter::getType
     0.00%  MolSim   libxerces-c-3.2.so   [.] 0x000000000015fff7
     0.00%  MolSim   libxerces-c-3.2.so   [.] 0x000000000015fffa
     0.00%  MolSim   [unknown]            [k] 0xffffffffc041e124


#
# (Tip: Use parent filter to see specific call path: perf report -p <regex>)
#
