iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.344516,0.00000,0.860276,0.00000,0.470978,0.00000,0.427931,0.00000,0.699332,0.00000,1.34343,0.00000,0.635797,0.00000,1.36429,0.00000,0.593626,0.00000,0.542896,0.00000,0.544441,0.00000,1.04911,0.00000,1.26690,0.00000,0.842315,0.00000,0.322786,0.00000,0.803186,0.00000,1.10359,0.00000,1.03473,0.00000,0.917219,0.00000,1.05357,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,0.00000,0.00000,0.00000,0.00000,0.829254,2.32603,0.847719,0.667346,0.501516,0.675648,0.862099,1.18987,2.23122,0.938862,1.36878,1.48946,0.690460,1.25239,0.470862,1.69558,1.41012,2.61965,1.41222,0.351861,0.556489,0.620269,0.579557,1.11358,0.565517,1.46993,0.644283,1.09155,1.39928,0.794393,0.620065,0.924315,0.765396,1.50727,0.787434,0.232446,1.07492,1.58936,1.70983,1.62834,1.59352,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.00000,0.00000,0.00000,0.00000,1.87229,0.468752,1.42589,1.52461,0.217794,1.39119,1.31698,1.76386,1.40185,0.991204,0.658401,1.89540,0.882072,1.96740,0.964071,2.22058,1.65296,1.37638,0.777792,1.01675,0.746899,1.11247,1.28382,0.474368,2.33107,2.05354,0.557741,0.967871,0.956017,1.35555,1.83263,0.906930,1.39830,1.40868,1.09040,0.977418,1.38512,2.02181,0.926023,0.661978,2.56920,0.00000,0.00000,0.00000,0.00000,0.00000
3000,0.00000,0.00000,0.00000,0.00000,2.83620,1.69274,0.937887,0.830806,0.817385,2.76726,0.915844,1.27597,1.20137,1.13657,2.87402,1.52734,0.756815,1.30053,0.903736,0.694711,1.53677,1.06993,1.25758,0.688174,1.43398,1.94278,2.47945,2.62829,1.40043,2.22991,2.56000,1.85306,2.36266,1.54075,1.72526,0.935636,2.43860,1.84968,0.548565,1.88628,1.78056,1.04279,1.39010,1.24672,6.55435,0.00000,0.00000,0.00000,0.00000,0.00000
4000,0.00000,0.00000,0.00000,0.00000,0.914279,1.65124,1.43744,1.79564,1.38153,0.997064,1.56651,0.725718,1.32627,1.05617,1.21884,1.99127,0.563776,1.03397,0.928432,1.55937,1.39724,1.80039,0.943041,2.97157,2.21704,0.974195,1.59793,1.10082,1.60724,2.34366,2.97421,1.84234,1.93979,1.82750,1.58707,0.847153,1.07338,1.71267,1.78011,1.29289,1.66798,1.81563,1.42698,1.82732,1.80135,0.00000,0.00000,0.00000,0.00000,0.00000
5000,0.00000,0.00000,0.00000,0.00000,2.58095,0.869699,1.56570,0.989624,0.829422,1.19135,0.934156,0.572143,0.766900,0.985169,2.10373,1.68708,2.39519,1.90060,1.27262,1.14204,1.38421,0.772031,2.10568,2.17514,2.62893,1.41064,1.50084,2.25378,1.75118,1.59852,2.74576,2.15113,3.07087,1.55492,1.64857,2.92761,1.40694,1.94237,1.11585,1.62338,1.73910,2.76068,2.71007,1.31606,2.60445,0.00000,0.00000,0.00000,0.00000,0.00000
6000,0.00000,0.00000,0.00000,0.00000,0.723055,1.23511,0.988993,0.824256,2.14630,0.176474,0.702772,0.448338,1.17910,1.07311,2.13459,0.351709,0.499392,1.21593,1.01514,2.25329,2.58927,1.63562,2.33206,2.87178,2.09620,1.74148,0.960164,2.42104,1.98790,2.30807,1.58001,1.27289,2.67726,2.39577,4.43651,2.13028,3.49099,2.00230,2.66207,2.98949,2.04803,0.239675,1.55076,1.28997,5.04506,0.00000,0.00000,0.00000,0.00000,0.00000
7000,0.00000,0.00000,0.00000,0.00000,0.845640,0.814841,0.531904,0.960775,1.03242,2.36491,1.40623,2.15674,0.879843,1.87109,1.36313,1.21862,1.38174,2.34403,1.23666,1.75116,1.31419,1.05008,2.16364,2.80985,1.83428,1.35892,2.36993,2.80583,2.05634,3.34674,2.92664,3.00950,2.55908,2.74454,2.72109,1.99265,3.39279,3.81920,2.03754,2.93668,1.84075,1.68203,1.40855,1.63772,4.48574,0.00000,0.00000,0.00000,0.00000,0.00000
8000,0.00000,0.00000,0.00000,0.00000,1.42054,1.29379,1.00468,1.00439,1.59147,1.34534,2.02372,1.73073,1.57774,1.93660,1.01005,2.20009,2.52158,1.09138,1.42150,0.720375,1.81704,1.43845,2.76937,2.31671,2.11075,2.00841,2.90851,3.80262,3.31155,4.24018,2.52820,1.76737,4.91903,2.19571,1.94875,2.75001,3.14319,3.16289,2.10244,0.997180,4.01518,2.30847,2.23270,1.90606,4.43658,0.00000,0.00000,0.00000,0.00000,0.00000
9000,0.00000,0.00000,0.00000,0.00000,1.27823,1.09891,0.803492,0.979027,1.37749,1.35243,1.75920,2.35750,1.54773,1.76997,1.33225,1.14895,2.47031,1.25417,1.98168,1.35165,1.82815,1.93385,2.38505,2.40802,3.40224,4.21666,3.95727,3.29660,1.34624,2.75125,3.49208,2.78575,3.42689,1.89843,2.67492,2.57564,3.43074,3.90455,4.35513,2.89608,2.21279,2.56480,1.95572,1.06763,2.76575,0.00000,0.00000,0.00000,0.00000,0.00000
10000,0.00000,0.00000,0.00000,0.00000,2.25903,0.356090,1.50663,1.01392,1.37224,0.247752,0.945615,1.57640,0.645185,1.05813,0.424997,1.04946,1.26169,1.38926,2.49159,2.91328,2.42890,2.56280,2.76426,4.30235,2.26329,1.31757,3.45529,3.14698,3.31799,2.73112,4.36897,2.87785,3.97332,3.00688,3.35880,4.35573,2.36307,3.00486,3.11547,2.78341,2.53749,2.32188,2.75453,2.75355,3.29575,0.00000,0.00000,0.00000,0.00000,0.00000
11000,0.00000,0.00000,0.00000,0.00000,1.19365,0.714037,1.26606,1.06831,0.355442,1.21815,1.08493,1.80590,0.396317,1.03442,1.77745,0.834236,1.18350,1.93903,2.42561,1.87062,3.17388,2.41325,2.59561,2.75230,3.46196,3.40545,3.38601,2.79452,4.52937,3.99743,3.21635,3.69931,3.95758,3.55197,2.26464,4.39485,3.66895,3.50711,4.25906,3.19199,2.05643,2.78471,2.91082,1.47917,2.50003,0.00000,0.00000,0.00000,0.00000,0.00000
12000,0.00000,0.00000,0.00000,0.00000,1.48938,1.34876,0.561574,1.54836,1.19472,1.36722,1.24977,0.852582,0.832758,2.35242,1.44526,0.519316,1.54521,0.447584,1.30897,2.91035,3.67273,4.58073,3.89577,3.25740,2.78552,4.04215,3.45759,4.52799,4.01325,2.97319,4.31314,4.92002,3.13051,4.65016,3.07318,2.82148,3.85521,4.14940,4.17907,3.52837,2.37986,3.56481,2.23312,1.45489,4.59005,0.00000,0.00000,0.00000,0.00000,0.00000
13000,0.00000,0.00000,0.00000,0.00000,1.21287,0.860005,1.49914,1.35247,1.52379,0.957686,0.945514,1.27794,0.756870,0.887510,1.74532,0.781026,2.43641,1.38454,1.28192,1.83198,2.62338,3.20715,1.99780,4.51228,5.01064,3.90018,3.81033,4.20970,4.85906,3.71029,3.63894,5.32867,3.47690,3.92839,4.75106,4.82002,4.30864,2.46037,3.66272,2.61321,3.01761,3.27526,2.58398,1.98449,3.59387,0.00000,0.00000,0.00000,0.00000,0.00000
14000,0.00000,0.00000,0.00000,0.00000,1.82948,0.741628,0.858894,1.58189,0.235508,2.67191,0.818233,1.30359,0.977241,1.10123,2.87228,1.20873,1.39733,1.07635,1.25590,2.98185,3.67608,3.79197,3.82792,4.43235,3.49202,3.99919,4.69931,4.65404,5.45537,3.25614,5.36339,2.33015,4.24484,3.05633,3.64382,4.89283,2.69513,3.17037,4.91824,3.69279,2.65168,3.75329,3.39211,2.21778,4.23976,0.00000,0.00000,0.00000,0.00000,0.00000
15000,0.00000,0.00000,0.00000,0.00000,2.53094,0.971017,0.749582,1.20691,0.524050,0.674063,1.10674,1.31292,0.931694,2.56348,2.16549,1.77727,3.06419,1.90504,0.906886,2.56707,3.10608,4.16174,2.67016,4.08634,4.25816,4.26281,3.73194,5.05309,3.25313,4.82200,4.81882,2.65288,4.61943,4.90132,5.73276,4.73552,2.67828,5.79381,4.51942,2.91810,3.15475,4.67654,3.17761,1.58294,3.82139,0.00000,0.00000,0.00000,0.00000,0.00000
16000,0.00000,0.00000,0.00000,0.00000,1.20893,0.984942,2.32591,0.805280,1.08431,0.663448,1.31975,1.50112,1.42732,0.815510,1.53311,0.879609,1.63849,1.55317,0.924193,3.12313,2.28413,3.72698,3.84731,4.06217,4.05330,4.78986,4.65539,3.46728,4.42133,4.71433,3.71685,4.70203,4.71297,5.60368,5.39929,4.49999,5.59311,4.05102,4.01348,4.13155,2.42403,3.70716,2.88369,2.60267,3.19533,0.00000,0.00000,0.00000,0.00000,0.00000
17000,0.00000,0.00000,0.00000,0.00000,1.71754,0.481055,1.55348,0.629436,0.521210,2.69643,0.993720,0.742025,1.04352,1.36942,0.791898,1.81780,1.79378,2.11060,1.45820,2.66081,3.86185,2.23566,4.53520,3.98234,3.93609,2.93564,3.95711,4.67298,5.73272,4.97620,3.97407,4.75387,5.10000,4.65108,5.28280,6.65110,4.67555,3.86714,4.79357,3.06460,4.31772,4.28295,4.44975,3.37610,7.37738,0.00000,0.00000,0.00000,0.00000,0.00000
