iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,1.66667,0.00000,1.66667,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.66667,0.00000,1.66667,0.00000,0.00000
1000,0.00000,1.67130,0.0509259,1.73611,0.509259,0.504630,0.555556,0.592593,0.504630,0.495370,0.620370,0.486111,0.574074,0.625000,0.625000,0.555556,0.481481,0.643519,0.597222,0.583333,0.560185,0.611111,0.592593,0.601852,0.555556,0.527778,0.541667,0.606481,0.500000,0.555556,0.578704,0.583333,0.606481,0.513889,0.671296,0.509259,0.587963,0.587963,0.583333,0.527778,0.541667,0.495370,0.583333,0.500000,0.407407,1.69444,0.0555556,1.67130,0.0138889,0.00462963
2000,0.00462963,1.67130,0.0787037,1.72685,0.564815,0.629630,0.476852,0.527778,0.453704,0.569444,0.583333,0.495370,0.500000,0.625000,0.699074,0.560185,0.611111,0.444444,0.578704,0.611111,0.587963,0.541667,0.634259,0.560185,0.643519,0.495370,0.476852,0.541667,0.560185,0.541667,0.546296,0.574074,0.569444,0.546296,0.532407,0.546296,0.541667,0.638889,0.550926,0.500000,0.587963,0.550926,0.583333,0.518519,0.462963,1.70370,0.0509259,1.67593,0.00000,0.00462963
3000,0.00462963,1.68519,0.106481,1.72685,0.449074,0.527778,0.606481,0.550926,0.560185,0.560185,0.578704,0.583333,0.615741,0.592593,0.476852,0.541667,0.657407,0.500000,0.555556,0.587963,0.597222,0.532407,0.513889,0.523148,0.629630,0.509259,0.597222,0.472222,0.532407,0.597222,0.560185,0.587963,0.560185,0.555556,0.495370,0.500000,0.550926,0.518519,0.601852,0.634259,0.564815,0.574074,0.569444,0.578704,0.351852,1.69444,0.0509259,1.67593,0.00925926,0.0138889
4000,0.00462963,1.67593,0.0740741,1.73611,0.467593,0.550926,0.560185,0.486111,0.615741,0.578704,0.597222,0.513889,0.569444,0.620370,0.620370,0.578704,0.518519,0.569444,0.611111,0.606481,0.583333,0.467593,0.500000,0.476852,0.592593,0.495370,0.564815,0.500000,0.597222,0.527778,0.560185,0.564815,0.611111,0.578704,0.509259,0.564815,0.560185,0.500000,0.490741,0.597222,0.625000,0.504630,0.574074,0.564815,0.402778,1.67593,0.0648148,1.67130,0.00000,0.00462963
5000,0.00462963,1.67130,0.0972222,1.71759,0.467593,0.620370,0.550926,0.453704,0.643519,0.597222,0.638889,0.541667,0.574074,0.620370,0.518519,0.546296,0.541667,0.490741,0.638889,0.537037,0.583333,0.643519,0.550926,0.462963,0.518519,0.472222,0.486111,0.606481,0.541667,0.518519,0.523148,0.509259,0.555556,0.555556,0.532407,0.541667,0.601852,0.569444,0.638889,0.518519,0.587963,0.462963,0.583333,0.555556,0.393519,1.70833,0.0509259,1.66667,0.00462963,0.00462963
6000,0.00462963,1.68056,0.101852,1.73611,0.523148,0.611111,0.620370,0.564815,0.407407,0.689815,0.527778,0.592593,0.564815,0.541667,0.564815,0.620370,0.546296,0.481481,0.486111,0.569444,0.504630,0.583333,0.634259,0.587963,0.504630,0.518519,0.504630,0.500000,0.523148,0.550926,0.467593,0.537037,0.486111,0.518519,0.518519,0.634259,0.550926,0.583333,0.583333,0.648148,0.518519,0.523148,0.592593,0.504630,0.361111,1.69907,0.0833333,1.67130,0.0185185,0.00462963
7000,0.00925926,1.67593,0.115741,1.75000,0.532407,0.555556,0.564815,0.560185,0.513889,0.550926,0.574074,0.620370,0.574074,0.569444,0.513889,0.513889,0.518519,0.620370,0.481481,0.592593,0.532407,0.546296,0.532407,0.550926,0.509259,0.504630,0.611111,0.541667,0.486111,0.425926,0.527778,0.472222,0.615741,0.537037,0.532407,0.574074,0.532407,0.467593,0.550926,0.620370,0.606481,0.513889,0.555556,0.592593,0.416667,1.69907,0.0925926,1.66667,0.00925926,0.00000
8000,0.0185185,1.68056,0.0833333,1.73148,0.541667,0.537037,0.518519,0.546296,0.550926,0.541667,0.629630,0.638889,0.490741,0.546296,0.541667,0.606481,0.481481,0.606481,0.486111,0.500000,0.500000,0.537037,0.486111,0.532407,0.509259,0.546296,0.500000,0.555556,0.601852,0.472222,0.481481,0.606481,0.592593,0.537037,0.606481,0.509259,0.597222,0.601852,0.611111,0.518519,0.481481,0.555556,0.574074,0.513889,0.333333,1.70370,0.0972222,1.67130,0.0231481,0.00000
9000,0.00000,1.68056,0.0972222,1.70833,0.490741,0.578704,0.532407,0.550926,0.500000,0.574074,0.629630,0.523148,0.560185,0.564815,0.504630,0.481481,0.537037,0.564815,0.462963,0.560185,0.532407,0.537037,0.513889,0.555556,0.490741,0.541667,0.574074,0.583333,0.537037,0.555556,0.537037,0.546296,0.527778,0.583333,0.550926,0.555556,0.560185,0.592593,0.500000,0.509259,0.495370,0.569444,0.537037,0.648148,0.333333,1.68981,0.0879630,1.67593,0.00000,0.00925926
