iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12000,0.00000,1.66667,0.00000,1.66667,0.166667,0.416667,0.342593,0.407407,0.504630,0.305556,0.425926,0.291667,0.444444,0.439815,0.398148,0.453704,0.310185,0.439815,0.402778,0.347222,0.337963,0.365741,0.282407,0.356481,0.324074,0.337963,0.361111,0.425926,0.412037,0.273148,0.430556,0.337963,0.412037,0.439815,0.300926,0.412037,0.375000,0.421296,0.398148,0.333333,0.462963,0.347222,0.356481,0.314815,0.0462963,1.66667,0.00000,1.66667,0.00000,0.00000
13000,0.00000,1.66667,0.00000,1.66667,0.212963,0.481481,0.310185,0.398148,0.361111,0.361111,0.416667,0.328704,0.421296,0.458333,0.300926,0.458333,0.310185,0.421296,0.486111,0.328704,0.319444,0.324074,0.337963,0.398148,0.333333,0.324074,0.333333,0.467593,0.449074,0.324074,0.430556,0.342593,0.435185,0.444444,0.310185,0.439815,0.250000,0.462963,0.412037,0.273148,0.449074,0.300926,0.351852,0.342593,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
14000,0.00000,1.66667,0.00000,1.66667,0.148148,0.486111,0.319444,0.500000,0.393519,0.310185,0.412037,0.273148,0.439815,0.449074,0.310185,0.462963,0.379630,0.375000,0.402778,0.351852,0.421296,0.379630,0.310185,0.347222,0.379630,0.300926,0.319444,0.398148,0.435185,0.337963,0.412037,0.296296,0.407407,0.430556,0.296296,0.458333,0.333333,0.453704,0.435185,0.328704,0.407407,0.314815,0.310185,0.393519,0.0416667,1.66667,0.00000,1.66667,0.00000,0.00000
15000,0.00000,1.66667,0.00000,1.66667,0.222222,0.453704,0.305556,0.421296,0.402778,0.282407,0.509259,0.328704,0.439815,0.388889,0.393519,0.439815,0.305556,0.412037,0.421296,0.328704,0.347222,0.305556,0.388889,0.342593,0.356481,0.277778,0.314815,0.430556,0.486111,0.277778,0.444444,0.412037,0.347222,0.375000,0.379630,0.458333,0.314815,0.435185,0.416667,0.296296,0.416667,0.328704,0.351852,0.365741,0.0370370,1.66667,0.00000,1.66667,0.00000,0.00000
16000,0.00000,1.66667,0.00000,1.66667,0.199074,0.421296,0.277778,0.490741,0.412037,0.361111,0.430556,0.273148,0.407407,0.495370,0.287037,0.416667,0.300926,0.444444,0.444444,0.347222,0.300926,0.379630,0.361111,0.356481,0.407407,0.347222,0.314815,0.449074,0.402778,0.356481,0.393519,0.421296,0.361111,0.384259,0.300926,0.439815,0.324074,0.379630,0.425926,0.268519,0.407407,0.370370,0.314815,0.444444,0.0416667,1.66667,0.00000,1.66667,0.00000,0.00000
17000,0.00000,1.66667,0.00000,1.66667,0.189815,0.430556,0.273148,0.472222,0.449074,0.319444,0.425926,0.310185,0.398148,0.449074,0.324074,0.458333,0.347222,0.430556,0.472222,0.342593,0.351852,0.324074,0.361111,0.287037,0.370370,0.291667,0.351852,0.472222,0.421296,0.361111,0.430556,0.324074,0.365741,0.398148,0.379630,0.375000,0.319444,0.425926,0.379630,0.333333,0.462963,0.356481,0.277778,0.412037,0.0370370,1.66667,0.00000,1.66667,0.00000,0.00000
18000,0.00000,1.66667,0.00000,1.66667,0.208333,0.458333,0.319444,0.481481,0.384259,0.351852,0.393519,0.342593,0.416667,0.430556,0.300926,0.453704,0.305556,0.412037,0.430556,0.287037,0.291667,0.402778,0.407407,0.337963,0.421296,0.328704,0.328704,0.333333,0.444444,0.328704,0.458333,0.310185,0.407407,0.449074,0.287037,0.439815,0.398148,0.351852,0.439815,0.291667,0.421296,0.342593,0.319444,0.370370,0.0740741,1.66667,0.00000,1.66667,0.00000,0.00000
19000,0.00000,1.66667,0.00000,1.66667,0.226852,0.462963,0.384259,0.393519,0.416667,0.305556,0.444444,0.250000,0.486111,0.425926,0.333333,0.393519,0.342593,0.430556,0.416667,0.282407,0.328704,0.407407,0.314815,0.319444,0.342593,0.356481,0.296296,0.444444,0.439815,0.337963,0.435185,0.337963,0.495370,0.375000,0.337963,0.435185,0.254630,0.458333,0.444444,0.245370,0.430556,0.324074,0.356481,0.375000,0.0740741,1.66667,0.00000,1.66667,0.00000,0.00000
20000,0.00000,1.66667,0.00000,1.66667,0.208333,0.416667,0.277778,0.449074,0.458333,0.259259,0.458333,0.333333,0.458333,0.449074,0.412037,0.416667,0.328704,0.449074,0.407407,0.287037,0.333333,0.333333,0.347222,0.310185,0.324074,0.388889,0.337963,0.370370,0.462963,0.277778,0.444444,0.324074,0.467593,0.449074,0.324074,0.453704,0.273148,0.356481,0.435185,0.333333,0.435185,0.324074,0.384259,0.351852,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
21000,0.00000,1.66667,0.00000,1.66667,0.180556,0.453704,0.370370,0.435185,0.430556,0.337963,0.416667,0.300926,0.462963,0.449074,0.310185,0.425926,0.319444,0.425926,0.384259,0.337963,0.388889,0.305556,0.319444,0.356481,0.337963,0.365741,0.342593,0.361111,0.435185,0.333333,0.375000,0.333333,0.430556,0.458333,0.342593,0.416667,0.361111,0.453704,0.430556,0.273148,0.435185,0.291667,0.337963,0.379630,0.0555556,1.66667,0.00000,1.66667,0.00000,0.00000
22000,0.00000,1.66667,0.00000,1.66667,0.162037,0.481481,0.319444,0.444444,0.421296,0.305556,0.449074,0.337963,0.416667,0.490741,0.282407,0.398148,0.365741,0.412037,0.421296,0.319444,0.314815,0.342593,0.393519,0.328704,0.287037,0.379630,0.300926,0.509259,0.444444,0.287037,0.398148,0.361111,0.444444,0.402778,0.300926,0.481481,0.282407,0.476852,0.402778,0.291667,0.449074,0.356481,0.222222,0.412037,0.0648148,1.66667,0.00000,1.66667,0.00000,0.00000
23000,0.00000,1.66667,0.00000,1.66667,0.189815,0.490741,0.342593,0.472222,0.481481,0.324074,0.472222,0.314815,0.370370,0.500000,0.305556,0.412037,0.314815,0.356481,0.430556,0.273148,0.361111,0.342593,0.305556,0.365741,0.342593,0.370370,0.319444,0.439815,0.384259,0.296296,0.472222,0.291667,0.472222,0.453704,0.300926,0.393519,0.277778,0.467593,0.439815,0.319444,0.402778,0.342593,0.337963,0.347222,0.0648148,1.66667,0.00000,1.66667,0.00000,0.00000
24000,0.00000,1.66667,0.00000,1.66667,0.180556,0.476852,0.333333,0.430556,0.472222,0.324074,0.458333,0.328704,0.425926,0.486111,0.296296,0.402778,0.361111,0.458333,0.375000,0.291667,0.342593,0.337963,0.412037,0.342593,0.351852,0.305556,0.305556,0.449074,0.430556,0.305556,0.458333,0.319444,0.398148,0.435185,0.356481,0.384259,0.319444,0.402778,0.416667,0.310185,0.370370,0.333333,0.347222,0.393519,0.0324074,1.66667,0.00000,1.66667,0.00000,0.00000
25000,0.00000,1.66667,0.00000,1.66667,0.199074,0.500000,0.305556,0.435185,0.462963,0.370370,0.384259,0.287037,0.416667,0.509259,0.287037,0.425926,0.305556,0.439815,0.458333,0.333333,0.351852,0.384259,0.314815,0.347222,0.277778,0.393519,0.337963,0.412037,0.435185,0.300926,0.416667,0.324074,0.412037,0.416667,0.333333,0.435185,0.314815,0.458333,0.444444,0.291667,0.402778,0.300926,0.333333,0.342593,0.0601852,1.66667,0.00000,1.66667,0.00000,0.00000
