iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12000,0.00000,0.00000,0.00000,0.00000,1.25697,1.64916,3.29718,2.43485,3.38676,3.61182,3.15017,2.86409,3.59029,3.19884,4.57636,4.18471,4.53916,3.69716,5.37089,3.82633,4.98570,4.44574,3.87398,4.01679,5.18537,4.73749,4.63204,5.38425,5.15515,4.01314,3.59524,4.94701,4.45498,4.75837,4.13737,3.94733,4.94514,3.57472,3.32287,2.49731,2.88894,3.06948,2.50594,1.58238,3.16809,0.00000,0.00000,0.00000,0.00000,0.00000
13000,0.00000,0.00000,0.00000,0.00000,1.72990,2.05428,2.24790,2.57247,3.82112,4.01375,4.05558,3.53353,4.31043,3.61761,4.23724,4.81619,4.18251,4.27348,4.63614,4.05727,5.87325,5.30053,4.69970,5.38668,4.98052,4.97157,4.98736,4.18967,4.50302,5.55882,5.09414,4.95591,4.63523,5.31273,3.81818,3.29087,4.27566,3.37043,4.56932,3.46557,3.46763,2.94578,2.14847,0.989811,3.80872,0.00000,0.00000,0.00000,0.00000,0.00000
14000,0.00000,0.00000,0.00000,0.00000,0.383730,1.80584,2.36700,3.52620,3.35456,4.67547,3.61587,4.05886,5.35059,4.18087,5.17996,4.74028,3.60715,5.52586,4.94382,5.82772,5.82048,4.73482,5.24444,5.11804,5.45773,5.71649,5.13458,4.53968,5.05361,5.93319,4.85257,5.18189,4.66116,3.30219,3.62352,6.14450,4.92494,4.34035,4.80528,3.86247,2.83749,3.09061,2.80121,2.02725,0.786176,0.00000,0.00000,0.00000,0.00000,0.00000
15000,0.00000,0.00000,0.00000,0.00000,1.08101,1.38897,3.88220,2.84315,4.07475,4.07371,3.90172,4.44000,3.80194,5.82551,5.24649,5.51141,4.00701,4.89790,5.95454,5.28973,4.47055,4.89363,5.58826,5.79750,6.04292,5.89378,5.57865,6.55736,5.11595,5.08254,6.05078,4.41591,4.76167,6.21299,4.09854,5.18735,4.79403,4.99681,4.60175,3.56038,4.78757,2.51977,2.88947,1.94084,1.91010,0.00000,0.00000,0.00000,0.00000,0.00000
16000,0.00000,0.00000,0.00000,0.00000,1.94232,3.16936,3.00628,3.57515,3.98422,3.88123,4.01251,4.90721,4.37793,5.07223,5.47680,5.01424,4.71636,5.97298,5.97316,5.15338,5.09179,6.14143,4.50989,6.85925,5.08624,6.14431,7.80426,6.08829,5.34211,6.63158,5.36364,6.22938,5.43741,4.72927,4.55857,4.81805,5.48973,5.03682,3.88550,3.65098,5.34313,2.81215,1.90620,2.93175,2.63607,0.00000,0.00000,0.00000,0.00000,0.00000
17000,0.00000,0.00000,0.00000,0.00000,2.15412,2.83708,3.37093,4.18274,4.76504,4.06347,4.47299,5.88834,5.94593,4.70271,4.73913,5.35566,5.93662,4.60653,5.69313,5.34973,5.90048,5.90844,6.72855,6.65328,5.74120,7.14817,5.93968,6.45664,5.99481,6.56144,5.57252,5.88264,6.00505,6.44570,5.77091,5.71128,5.01230,4.73238,4.33247,4.61671,2.91944,3.44033,4.09044,1.78255,2.70368,0.00000,0.00000,0.00000,0.00000,0.00000
18000,0.00000,0.00000,0.00000,0.00000,2.00600,2.10427,3.69773,3.78537,5.23737,5.00763,4.88339,5.45521,4.82753,4.80776,5.83502,5.61081,5.31241,6.55199,6.50788,5.64849,7.10839,6.05883,6.16174,6.86529,6.76189,6.66059,6.70422,5.64946,6.56175,7.21940,5.59181,5.27126,6.23839,6.65275,6.67886,5.27716,5.66895,5.13766,5.12083,4.46454,3.54881,3.15019,2.59352,2.17406,3.10314,0.00000,0.00000,0.00000,0.00000,0.00000
19000,0.00000,0.00000,0.00000,0.00000,2.59784,3.48534,3.39415,3.39780,3.79796,4.90817,4.26970,5.89916,5.54443,5.74487,5.27993,5.80355,5.98042,6.56829,7.74888,6.97475,5.25965,7.08464,6.99132,7.14499,6.45325,7.70939,7.11508,6.02753,7.48393,6.56624,6.38834,6.69363,5.97134,6.84806,4.77062,5.60381,6.01447,4.13280,5.99067,3.92067,4.39147,5.06066,2.06856,1.49108,2.75302,0.00000,0.00000,0.00000,0.00000,0.00000
20000,0.00000,0.00000,0.00000,0.00000,4.35187,2.62699,2.80539,4.11751,4.33876,5.17270,6.76102,5.63289,5.08443,5.40372,5.91273,6.33452,6.70575,6.92604,7.07491,6.43903,7.39590,6.72233,6.68708,6.70187,7.77276,7.11147,6.30621,7.94743,7.57718,7.38887,6.09785,5.94681,7.32519,5.34300,7.91328,6.02769,6.27905,5.09928,4.01940,4.05651,4.36898,4.22967,3.75832,2.28216,2.52876,0.00000,0.00000,0.00000,0.00000,0.00000
21000,0.00000,0.00000,0.00000,0.00000,1.24615,2.97085,2.45945,4.04345,5.20074,5.62664,5.93984,4.91923,6.79493,6.12523,5.42461,7.30206,7.31348,7.21362,6.51090,7.17670,7.39236,6.65752,7.39310,8.17423,6.77475,6.96509,7.17030,8.10743,8.06756,7.66454,6.95166,6.43029,6.45538,7.00906,5.88017,5.09850,5.94479,5.46849,4.79059,4.87802,4.35892,3.55848,3.68799,3.67394,5.56462,0.00000,0.00000,0.00000,0.00000,0.00000
22000,0.00000,0.00000,0.00000,0.00000,3.36481,2.94189,2.56476,3.33157,4.47807,5.10078,5.79440,6.44648,6.18035,6.17647,6.99853,7.83014,6.19928,6.68677,7.52685,8.20192,9.02862,6.80594,6.45398,8.13878,7.34545,7.99617,8.47774,6.78220,7.62552,7.66303,7.44667,7.25369,6.39867,6.18419,6.04621,6.18762,5.82320,6.09002,3.97006,4.30712,4.07108,3.99677,3.95069,3.37615,3.49291,0.00000,0.00000,0.00000,0.00000,0.00000
23000,0.00000,0.00000,0.00000,0.00000,4.13590,3.29782,4.15825,3.53889,5.15621,5.00534,5.48887,5.78109,5.94654,5.72348,7.75540,7.26469,7.01940,7.59405,6.75917,9.36739,7.54854,7.01386,7.39663,7.75652,8.43661,7.78000,8.26342,7.72369,9.24358,8.16803,7.12196,6.21503,7.02338,7.24746,7.12722,6.52484,6.25088,6.52982,4.90950,5.20349,4.34317,3.36585,2.53583,2.20298,3.18782,0.00000,0.00000,0.00000,0.00000,0.00000
24000,0.00000,0.00000,0.00000,0.00000,1.23312,3.93956,3.77497,4.43131,5.53487,5.09965,5.76449,6.22894,6.28885,6.41662,6.44345,6.68034,7.85423,7.35699,7.46123,8.49982,8.49869,8.46201,8.76408,6.82930,7.63823,8.54809,8.92305,7.95119,7.87969,7.21010,8.09430,7.57856,7.93431,6.87554,6.93465,7.30584,5.89854,5.78822,5.02038,5.74175,4.36675,3.35912,4.54125,2.10656,4.78786,0.00000,0.00000,0.00000,0.00000,0.00000
