iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,1.66667,0.00000,1.66667,0.00000,0.620370,0.111111,0.509259,0.111111,0.509259,0.111111,0.620370,0.00000,0.620370,0.00000,0.620370,0.111111,0.509259,0.111111,0.509259,0.00000,0.509259,0.00000,0.509259,0.00000,0.509259,0.00000,0.509259,0.00000,0.509259,0.111111,0.509259,0.111111,0.620370,0.00000,0.620370,0.00000,0.620370,0.111111,0.509259,0.111111,0.509259,0.111111,0.620370,0.00000,1.66667,0.00000,1.66667,0.00000,0.00000
1000,0.00000,1.66667,0.00000,1.66667,0.120370,0.370370,0.351852,0.259259,0.356481,0.268519,0.337963,0.388889,0.240741,0.375000,0.273148,0.375000,0.305556,0.328704,0.337963,0.222222,0.277778,0.273148,0.361111,0.245370,0.273148,0.236111,0.282407,0.305556,0.254630,0.245370,0.300926,0.226852,0.337963,0.375000,0.240741,0.370370,0.231481,0.342593,0.407407,0.287037,0.328704,0.254630,0.379630,0.407407,0.0277778,1.66667,0.00000,1.66667,0.00000,0.00000
2000,0.00000,1.66667,0.00000,1.66667,0.0972222,0.337963,0.370370,0.250000,0.347222,0.263889,0.384259,0.375000,0.259259,0.310185,0.250000,0.361111,0.375000,0.254630,0.365741,0.282407,0.305556,0.305556,0.314815,0.254630,0.356481,0.240741,0.337963,0.273148,0.291667,0.226852,0.333333,0.212963,0.388889,0.356481,0.259259,0.351852,0.203704,0.365741,0.314815,0.300926,0.305556,0.240741,0.347222,0.398148,0.0138889,1.66667,0.00000,1.66667,0.00000,0.00000
3000,0.00000,1.66667,0.00000,1.66667,0.0972222,0.388889,0.398148,0.259259,0.328704,0.254630,0.375000,0.324074,0.277778,0.379630,0.250000,0.398148,0.356481,0.254630,0.375000,0.268519,0.282407,0.263889,0.263889,0.296296,0.203704,0.291667,0.263889,0.263889,0.268519,0.259259,0.388889,0.259259,0.328704,0.361111,0.259259,0.342593,0.342593,0.379630,0.314815,0.240741,0.314815,0.236111,0.370370,0.379630,0.0231481,1.66667,0.00000,1.66667,0.00000,0.00000
4000,0.00000,1.66667,0.00000,1.66667,0.152778,0.402778,0.356481,0.273148,0.402778,0.240741,0.351852,0.347222,0.226852,0.416667,0.175926,0.361111,0.291667,0.254630,0.425926,0.273148,0.250000,0.222222,0.263889,0.226852,0.282407,0.324074,0.291667,0.347222,0.245370,0.194444,0.370370,0.287037,0.314815,0.384259,0.226852,0.337963,0.231481,0.379630,0.365741,0.231481,0.356481,0.231481,0.393519,0.453704,0.0185185,1.66667,0.00000,1.66667,0.00000,0.00000
5000,0.00000,1.66667,0.00000,1.66667,0.120370,0.398148,0.384259,0.277778,0.356481,0.240741,0.310185,0.388889,0.291667,0.314815,0.236111,0.347222,0.314815,0.231481,0.351852,0.319444,0.254630,0.268519,0.277778,0.254630,0.268519,0.273148,0.268519,0.282407,0.300926,0.250000,0.365741,0.273148,0.384259,0.296296,0.236111,0.379630,0.287037,0.375000,0.333333,0.277778,0.384259,0.203704,0.351852,0.412037,0.0416667,1.66667,0.00000,1.66667,0.00000,0.00000
6000,0.00000,1.66667,0.00000,1.66667,0.152778,0.375000,0.370370,0.236111,0.333333,0.254630,0.333333,0.356481,0.236111,0.402778,0.245370,0.365741,0.361111,0.263889,0.388889,0.277778,0.277778,0.250000,0.212963,0.300926,0.245370,0.287037,0.263889,0.217593,0.259259,0.231481,0.351852,0.263889,0.361111,0.370370,0.277778,0.356481,0.277778,0.384259,0.361111,0.250000,0.384259,0.245370,0.370370,0.393519,0.0370370,1.66667,0.00000,1.66667,0.00000,0.00000
7000,0.00000,1.66667,0.00000,1.66667,0.175926,0.384259,0.361111,0.250000,0.319444,0.217593,0.412037,0.296296,0.254630,0.375000,0.240741,0.356481,0.365741,0.277778,0.384259,0.291667,0.282407,0.305556,0.268519,0.212963,0.314815,0.208333,0.268519,0.287037,0.245370,0.259259,0.398148,0.226852,0.333333,0.365741,0.282407,0.370370,0.217593,0.347222,0.402778,0.263889,0.333333,0.263889,0.375000,0.342593,0.0462963,1.66667,0.00000,1.66667,0.00000,0.00000
8000,0.00000,1.66667,0.00000,1.66667,0.162037,0.388889,0.361111,0.273148,0.365741,0.217593,0.361111,0.398148,0.250000,0.356481,0.250000,0.421296,0.347222,0.199074,0.361111,0.259259,0.273148,0.296296,0.287037,0.291667,0.217593,0.291667,0.231481,0.324074,0.222222,0.328704,0.361111,0.208333,0.347222,0.384259,0.245370,0.361111,0.245370,0.398148,0.337963,0.194444,0.384259,0.263889,0.333333,0.361111,0.0231481,1.66667,0.00000,1.66667,0.00000,0.00000
9000,0.00000,1.66667,0.00000,1.66667,0.0925926,0.416667,0.351852,0.263889,0.379630,0.245370,0.351852,0.388889,0.217593,0.370370,0.254630,0.365741,0.435185,0.245370,0.365741,0.277778,0.328704,0.305556,0.254630,0.245370,0.282407,0.282407,0.273148,0.277778,0.180556,0.231481,0.314815,0.236111,0.398148,0.365741,0.263889,0.379630,0.236111,0.356481,0.384259,0.217593,0.305556,0.231481,0.337963,0.444444,0.0277778,1.66667,0.00000,1.66667,0.00000,0.00000
