iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,1.66667,0.00000,1.66667,0.00000,0.990741,0.00000,0.990741,0.111111,0.879630,0.111111,0.879630,0.111111,0.990741,0.00000,0.990741,0.00000,0.990741,0.111111,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,0.879630,0.00000,1.66667,0.00000,1.66667,0.00000,0.00000
1000,0.00000,1.66667,0.00000,1.66667,0.217593,0.597222,0.384259,0.606481,0.541667,0.444444,0.587963,0.472222,0.513889,0.592593,0.453704,0.550926,0.402778,0.537037,0.555556,0.416667,0.458333,0.421296,0.467593,0.435185,0.472222,0.407407,0.472222,0.430556,0.449074,0.444444,0.486111,0.412037,0.467593,0.425926,0.449074,0.449074,0.453704,0.495370,0.379630,0.416667,0.393519,0.421296,0.430556,0.541667,0.0370370,1.66667,0.00000,1.66667,0.00000,0.00000
2000,0.00000,1.66667,0.00000,1.66667,0.277778,0.532407,0.453704,0.537037,0.527778,0.407407,0.583333,0.416667,0.472222,0.550926,0.449074,0.564815,0.412037,0.569444,0.592593,0.435185,0.435185,0.476852,0.449074,0.444444,0.458333,0.486111,0.407407,0.430556,0.462963,0.490741,0.421296,0.513889,0.458333,0.439815,0.453704,0.416667,0.416667,0.393519,0.504630,0.449074,0.398148,0.407407,0.467593,0.481481,0.0462963,1.66667,0.00000,1.66667,0.00000,0.00000
3000,0.00000,1.66667,0.00000,1.66667,0.250000,0.587963,0.430556,0.527778,0.472222,0.435185,0.513889,0.421296,0.578704,0.518519,0.402778,0.532407,0.398148,0.504630,0.509259,0.453704,0.467593,0.490741,0.476852,0.398148,0.527778,0.402778,0.449074,0.458333,0.523148,0.375000,0.458333,0.444444,0.425926,0.449074,0.472222,0.453704,0.449074,0.444444,0.486111,0.453704,0.421296,0.476852,0.444444,0.541667,0.0648148,1.66667,0.00000,1.66667,0.00000,0.00000
4000,0.00000,1.66667,0.00000,1.66667,0.171296,0.527778,0.458333,0.569444,0.513889,0.435185,0.500000,0.430556,0.518519,0.504630,0.407407,0.518519,0.402778,0.574074,0.523148,0.425926,0.435185,0.412037,0.490741,0.421296,0.504630,0.425926,0.435185,0.421296,0.462963,0.462963,0.458333,0.467593,0.518519,0.449074,0.425926,0.486111,0.481481,0.486111,0.416667,0.476852,0.416667,0.444444,0.458333,0.578704,0.0740741,1.66667,0.00000,1.66667,0.00000,0.00000
5000,0.00000,1.66667,0.00000,1.66667,0.259259,0.532407,0.375000,0.513889,0.587963,0.481481,0.541667,0.416667,0.490741,0.518519,0.421296,0.532407,0.412037,0.486111,0.569444,0.402778,0.453704,0.402778,0.509259,0.453704,0.449074,0.449074,0.458333,0.425926,0.472222,0.444444,0.453704,0.402778,0.518519,0.425926,0.481481,0.472222,0.500000,0.467593,0.393519,0.481481,0.425926,0.462963,0.430556,0.537037,0.0787037,1.66667,0.00000,1.66667,0.00000,0.00000
6000,0.00000,1.66667,0.00000,1.66667,0.250000,0.541667,0.444444,0.564815,0.527778,0.402778,0.546296,0.384259,0.550926,0.527778,0.453704,0.574074,0.439815,0.486111,0.560185,0.402778,0.537037,0.444444,0.425926,0.439815,0.467593,0.425926,0.449074,0.490741,0.449074,0.444444,0.476852,0.453704,0.398148,0.462963,0.430556,0.462963,0.435185,0.458333,0.472222,0.439815,0.435185,0.444444,0.425926,0.486111,0.0787037,1.66667,0.00000,1.66667,0.00000,0.00000
7000,0.00000,1.66667,0.00000,1.66667,0.245370,0.537037,0.509259,0.495370,0.541667,0.435185,0.560185,0.430556,0.523148,0.583333,0.398148,0.606481,0.421296,0.490741,0.550926,0.467593,0.486111,0.444444,0.416667,0.435185,0.495370,0.412037,0.444444,0.504630,0.425926,0.462963,0.435185,0.453704,0.425926,0.416667,0.462963,0.449074,0.388889,0.439815,0.476852,0.486111,0.430556,0.435185,0.435185,0.481481,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
8000,0.00000,1.66667,0.00000,1.66667,0.314815,0.560185,0.370370,0.513889,0.537037,0.430556,0.486111,0.458333,0.472222,0.541667,0.402778,0.569444,0.472222,0.569444,0.546296,0.430556,0.504630,0.504630,0.412037,0.481481,0.490741,0.458333,0.435185,0.421296,0.453704,0.449074,0.486111,0.379630,0.472222,0.449074,0.347222,0.458333,0.444444,0.416667,0.453704,0.449074,0.444444,0.435185,0.439815,0.546296,0.0833333,1.66667,0.00000,1.66667,0.00000,0.00000
9000,0.00000,1.66667,0.00000,1.66667,0.226852,0.527778,0.449074,0.495370,0.513889,0.421296,0.537037,0.379630,0.569444,0.509259,0.458333,0.532407,0.398148,0.592593,0.541667,0.412037,0.398148,0.444444,0.495370,0.462963,0.407407,0.467593,0.402778,0.486111,0.435185,0.462963,0.546296,0.490741,0.425926,0.467593,0.458333,0.444444,0.504630,0.430556,0.462963,0.490741,0.458333,0.393519,0.449074,0.453704,0.0879630,1.66667,0.00000,1.66667,0.00000,0.00000
