iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.511086,0.00000,0.294525,0.00000,0.910057,0.00000,0.563550,0.00000,0.479738,0.00000,0.568029,0.00000,0.558528,0.00000,0.682747,0.00000,0.251184,0.00000,0.429474,0.00000,0.430629,0.00000,0.542482,0.00000,0.725797,0.00000,0.538979,0.00000,0.748443,0.00000,0.894968,0.00000,0.563640,0.00000,0.561829,0.00000,0.731122,0.00000,0.476868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,0.00000,0.0452197,2.29897,0.0760296,0.428299,0.503074,0.369647,0.634058,0.502837,0.960801,0.502492,1.51229,1.06768,0.553155,1.12528,0.576055,0.526606,0.257544,0.473482,0.997652,0.449383,1.08214,0.701058,0.962124,0.810771,0.867602,1.29778,0.267199,1.24805,0.816136,0.589747,0.823047,1.55140,0.639363,0.998227,0.716799,0.955535,1.11823,1.17988,0.772253,1.53362,1.27323,1.22168,0.142214,1.91574,0.0976505,3.12020,0.0287609,9.65614,13.6475
2000,14.8005,0.0252224,2.72199,0.0910797,0.954225,0.539320,1.70259,1.00058,0.840948,1.78276,0.478434,2.12081,0.356182,0.993396,1.19227,0.606543,0.601133,0.805313,1.06678,0.799113,1.18608,1.00993,1.21202,1.57783,1.01223,0.727349,1.02318,0.963473,1.19399,1.27883,2.08050,0.892016,1.43824,1.83152,0.613737,1.15369,0.869156,1.31022,1.15615,2.01109,0.889439,0.830371,1.21824,0.221331,0.587489,0.109193,3.38456,0.0461005,0.00000,12.2434
3000,7.03778,0.0523209,1.30732,0.169543,1.10123,1.44666,0.247219,1.42653,1.94814,1.32930,2.28098,1.92828,1.06956,0.936632,0.963560,0.777925,1.66116,1.37554,1.20148,2.01686,1.56152,0.724829,1.73138,2.56017,0.716318,1.03709,1.02705,1.00468,1.38191,1.06811,1.96047,1.30361,1.27230,1.75729,1.55072,2.37363,0.707970,2.29110,1.03114,1.15938,2.41452,1.01181,0.651852,0.422609,1.49218,0.122018,2.69540,0.0485982,11.4810,13.3005
4000,17.3332,0.0198481,4.48304,0.103926,1.34550,1.44478,1.10710,2.62782,1.24957,1.69726,1.56875,1.40658,2.39908,1.57684,1.78222,1.39508,1.06274,1.89238,1.12102,1.37810,1.33833,1.11114,3.14568,1.60689,1.54869,1.37798,1.82813,1.80505,2.31356,0.996258,1.87156,2.08154,1.88389,2.12981,1.61405,1.84780,1.75418,1.32848,1.13596,0.872532,1.81431,1.86710,2.00093,1.39380,0.763489,0.0335856,3.61688,0.0282279,0.00000,7.79115
5000,13.5097,0.0313967,2.44311,0.132586,1.34013,0.815782,2.56588,1.72717,1.10910,1.69171,1.33484,2.06410,2.60186,1.28759,1.95416,2.02184,1.67429,1.86393,2.23572,2.73877,2.00910,2.27196,1.52255,2.24062,2.81928,2.06928,1.82826,1.81456,2.47908,1.65257,2.48042,3.04174,1.53729,2.25230,0.998988,1.06286,1.66373,2.47779,1.24088,1.52113,2.25653,2.08408,1.36889,1.42756,0.950155,0.0738647,0.853351,0.00000,7.69449,17.4097
6000,23.2122,0.0785194,2.51834,0.168306,1.27065,1.61825,1.63988,1.03748,1.12946,2.61378,2.72267,1.89113,1.97196,1.27177,1.79732,3.30310,3.01470,1.80800,2.59772,3.33541,2.60700,1.87922,1.93284,3.07179,2.21575,1.82695,2.99666,1.60142,2.62017,1.38838,2.34032,2.54501,2.32233,2.31647,1.96780,2.60366,2.46234,2.56653,2.61195,1.97276,1.59487,1.47815,1.60060,1.56964,2.16780,0.0477699,1.00564,0.0193100,9.32035,9.06586
7000,8.47430,0.0633569,1.50098,0.0768572,1.60980,2.00010,1.76959,1.91110,2.91596,1.98384,1.37229,2.18054,1.74132,2.51084,2.67271,2.06493,3.68707,2.42920,2.95218,3.28544,3.71069,2.43138,1.84045,3.17215,2.76612,2.63424,2.74576,2.74586,2.47120,2.92356,2.00264,2.57439,2.76313,2.22734,2.47177,2.53852,3.04101,3.10103,2.23231,1.87268,1.53114,2.50869,2.43626,2.41883,1.76400,0.0497371,4.25572,0.00000,11.0876,0.00000
8000,11.9999,0.0431468,0.937971,0.0828261,1.36641,2.35985,2.27856,3.41080,2.41313,2.30166,2.48792,2.31450,2.63133,3.15942,2.50445,2.74208,3.19114,2.87992,2.60168,2.33426,2.62901,4.04645,3.03372,3.24368,3.54200,1.87971,2.19185,2.28552,3.99698,3.04097,2.08689,3.74085,3.66460,2.95075,3.15193,2.36274,1.87703,2.84681,2.80317,2.16578,2.27434,2.22723,1.44969,2.50068,3.34689,0.0363856,2.39004,0.0502514,9.88037,0.00000
9000,0.00000,0.0458346,2.57581,0.0978720,2.83269,2.36033,1.78491,1.85328,2.63920,2.52962,2.43793,3.41074,3.05409,2.39931,3.03866,3.13831,3.89667,2.69775,2.41346,2.19088,4.17333,3.85640,2.10221,2.96282,3.67347,3.56107,3.24869,3.45079,2.54846,3.68592,4.01611,3.53226,3.79185,2.54213,3.27250,2.69059,2.87110,4.05887,2.23546,1.88819,2.89831,2.86128,2.22902,2.14345,2.91527,0.0423785,0.820879,0.0585279,0.00000,9.32177
