iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.997904,0.00000,1.44932,0.00000,1.10276,0.00000,2.07369,0.00000,0.245353,0.00000,1.97548,0.00000,1.38485,0.00000,0.653326,0.00000,0.537871,0.00000,2.32375,0.00000,0.961990,0.00000,0.380089,0.00000,2.12096,0.00000,1.00222,0.00000,1.64440,0.00000,1.15954,0.00000,0.967667,0.00000,1.95576,0.00000,0.911197,0.00000,0.843502,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,0.00000,0.00000,0.00000,0.00000,1.81516,3.87429,1.66359,1.77678,2.35659,5.29665,0.870037,3.51609,4.33603,1.42335,3.26613,1.26286,1.84482,3.83398,2.71263,2.58165,2.17063,2.19669,2.04648,2.38344,2.10898,1.31128,1.41354,0.278046,2.01728,3.73570,1.02683,4.13607,2.66202,2.86587,1.68947,3.39567,2.14781,2.82418,2.56626,3.16952,1.68820,1.81700,1.76714,1.60617,2.74332,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.00000,0.00000,0.00000,0.00000,4.21894,3.49533,3.14929,4.64884,2.18151,4.49839,1.98405,2.87577,4.55462,3.19063,2.88268,3.69607,3.02463,2.86094,2.37353,1.41234,1.90492,1.42700,2.75408,2.73744,1.34158,2.30282,1.35173,1.69860,1.58634,3.23597,2.36381,3.72019,2.95576,3.55567,2.36053,3.60782,2.65348,3.74874,2.00828,5.54120,1.82950,5.93391,2.03365,3.39340,5.40206,0.00000,0.00000,0.00000,0.00000,0.00000
3000,0.00000,0.00000,0.00000,0.00000,2.93203,0.650031,2.77628,2.12145,2.17846,3.07847,1.44245,1.61426,2.59198,1.56920,4.25965,1.79853,1.17678,0.824856,1.25323,1.23948,2.02031,2.32119,0.686304,1.77529,2.01547,0.407922,1.44300,1.13503,1.77778,0.404673,2.05098,1.91689,0.546798,2.61072,0.997968,0.604031,2.57674,1.27889,1.60662,2.34069,2.22844,2.14298,1.93962,1.09527,7.80674,0.00000,0.00000,0.00000,0.00000,0.00000
4000,0.00000,0.00000,0.00000,0.00000,3.65052,0.852280,0.891121,1.31195,1.16254,2.75911,1.87268,0.723097,3.01777,0.848475,1.74865,2.01829,0.393993,2.80750,1.22933,0.852298,1.76564,2.48580,1.36379,2.11640,1.61220,1.00943,0.923056,1.79854,1.87680,0.636267,0.907855,2.07557,0.666068,0.684245,2.33602,1.79637,1.57365,0.920294,2.05545,3.41648,1.93687,0.692603,0.587931,1.96470,5.21153,0.00000,0.00000,0.00000,0.00000,0.00000
5000,0.00000,0.00000,0.00000,0.00000,3.26303,1.14778,1.89326,1.22985,1.48463,3.05251,2.43739,0.613957,2.17989,1.81681,2.25735,3.91246,2.17129,2.06025,1.29420,2.12993,1.98079,1.99899,1.64652,2.30331,1.93480,0.706332,2.92844,2.23470,2.36977,3.15229,1.07612,3.89085,0.344834,0.741107,1.23458,1.35083,2.54754,2.68842,2.17544,2.06400,0.939746,4.10764,1.25100,1.40390,3.31411,0.00000,0.00000,0.00000,0.00000,0.00000
6000,0.00000,0.00000,0.00000,0.00000,1.16928,2.32774,1.68288,3.47050,1.22256,1.46510,1.12125,1.09144,3.84790,1.11417,1.89593,2.14260,1.67168,1.82899,0.952165,2.32934,1.93353,3.16632,2.70601,1.59381,1.71777,2.46561,3.53057,1.79637,1.93485,2.54609,1.34053,1.21874,0.830467,0.719982,2.51237,1.49188,1.89843,1.69652,1.83677,3.91321,0.824532,1.73975,2.01023,1.91970,6.96257,0.00000,0.00000,0.00000,0.00000,0.00000
7000,0.00000,0.00000,0.00000,0.00000,2.11377,0.973467,0.543977,2.54682,1.43325,2.83851,0.604085,1.51712,1.74112,1.09483,0.869922,1.40633,1.34318,1.80734,1.51496,3.12696,1.92466,1.63850,3.28044,3.69307,2.66800,2.73815,2.97835,3.02875,3.50475,0.985869,1.63660,1.97561,1.50020,1.57002,1.77083,1.28322,1.92067,1.26022,1.31000,2.38335,0.994329,1.37832,1.47478,1.03084,4.11371,0.00000,0.00000,0.00000,0.00000,0.00000
8000,0.00000,0.00000,0.00000,0.00000,1.35500,1.40970,1.54966,0.712731,0.439544,0.786148,1.37446,0.945840,3.19737,1.02996,1.52514,1.08735,1.51757,2.92702,1.59399,0.761881,3.80873,2.48780,1.69363,1.81604,2.88291,2.85774,3.40333,1.85489,3.17711,1.72130,0.991382,1.34052,1.15102,0.829597,1.58928,1.16277,1.42303,0.691379,0.206460,2.53928,0.843163,1.58058,2.34459,1.19860,3.98598,0.00000,0.00000,0.00000,0.00000,0.00000
9000,0.00000,0.00000,0.00000,0.00000,4.34143,1.74145,1.02466,2.13667,1.00613,3.86424,1.02273,1.13820,1.02424,1.39745,1.83803,1.80843,0.376575,1.81237,0.750753,1.13929,1.66520,1.93084,3.39543,1.34899,2.52156,2.57566,1.55225,0.839561,3.33123,2.34970,1.56383,1.64069,1.86697,1.46328,1.63396,1.18421,3.32322,1.04520,1.33493,0.935597,1.66775,2.73858,1.38524,1.86549,6.45154,0.00000,0.00000,0.00000,0.00000,0.00000
